TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS
1610612737,Atlanta Hawks,11,7,4,0.636,533.0,110.5,113.3,109.1,111.6,1.4,1.7,0.569,2.12,17.7,0.302,0.687,0.494,0.117,0.522,0.556,104.3,101.9,84.92,1133,0.521,13,9,8,9,19,13,18,11,23,1,16,10,27,16,1,22,23,7,8,10,Atlanta Hawks
1610612738,Boston Celtics,11,8,3,0.727,538.0,116.2,117.6,111.0,112.5,5.1,5.0,0.626,1.88,18.9,0.229,0.729,0.49,0.137,0.575,0.617,100.6,99.35,82.79,1111,0.525,13,3,2,3,16,1,21,6,11,7,9,28,11,21,6,2,1,21,5,10,Boston Celtics
1610612751,Brooklyn Nets,12,5,7,0.417,581.0,111.4,112.4,107.3,110.8,4.2,1.5,0.637,1.86,19.0,0.25,0.669,0.471,0.14,0.544,0.585,99.7,97.69,81.41,1182,0.525,3,15,19,19,5,14,11,14,10,8,7,25,30,30,8,10,8,26,6,10,Brooklyn Nets
1610612766,Charlotte Hornets,12,3,9,0.25,586.0,103.5,105.7,108.7,111.0,-5.2,-5.3,0.647,1.78,18.1,0.303,0.7,0.492,0.144,0.495,0.527,102.4,100.22,83.52,1225,0.468,3,26,26,26,3,28,15,26,7,10,15,9,20,17,13,29,30,17,26,10,Charlotte Hornets
1610612741,Chicago Bulls,13,6,7,0.462,624.0,109.0,110.1,106.5,108.5,2.6,1.6,0.603,1.56,17.5,0.271,0.728,0.5,0.154,0.526,0.574,102.6,101.15,84.29,1315,0.503,1,12,19,14,2,18,5,13,16,23,17,22,14,14,20,20,14,10,14,10,Chicago Bulls
1610612739,Cleveland Cavaliers,11,8,3,0.727,543.0,113.4,115.8,105.2,106.9,8.2,8.9,0.603,1.64,18.2,0.295,0.771,0.537,0.153,0.559,0.598,99.6,97.81,81.51,1108,0.548,13,3,2,3,13,3,3,2,17,18,14,13,1,1,19,4,3,24,3,10,Cleveland Cavaliers
1610612742,Dallas Mavericks,10,6,4,0.6,490.0,110.8,114.3,107.6,109.5,3.1,4.8,0.5,1.42,15.0,0.274,0.703,0.487,0.141,0.546,0.584,97.1,94.78,78.98,966,0.516,29,12,8,10,29,8,9,7,30,26,29,20,18,22,11,8,9,30,10,10,Dallas Mavericks
1610612743,Denver Nuggets,11,8,3,0.727,528.0,113.5,114.6,110.1,112.0,3.4,2.6,0.656,1.75,20.1,0.279,0.743,0.516,0.162,0.576,0.601,103.4,101.95,84.96,1120,0.522,13,3,2,3,25,5,20,9,6,13,2,16,4,8,26,1,2,6,7,10,Denver Nuggets
1610612765,Detroit Pistons,12,3,9,0.25,576.0,104.6,107.3,115.3,117.3,-10.7,-10.0,0.549,1.43,15.0,0.305,0.694,0.492,0.144,0.487,0.536,102.9,100.83,84.03,1209,0.428,3,26,26,26,9,26,30,30,27,25,30,8,24,20,14,30,28,14,30,10,Detroit Pistons
1610612744,Golden State Warriors,11,4,7,0.364,533.0,109.9,112.2,112.9,115.8,-3.0,-3.6,0.668,1.71,19.6,0.272,0.699,0.486,0.16,0.557,0.59,105.8,103.38,86.15,1150,0.48,13,22,19,23,19,15,27,24,4,17,4,21,22,23,25,5,5,2,25,10,Golden State Warriors
