TEAM_ID,TEAM_NAME_x,GP_x,W_x,L_x,W_PCT_x,MIN_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK_x,W_RANK_x,L_RANK_x,W_PCT_RANK_x,MIN_RANK_x,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID_x,CFPARAMS_x,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT_y,MIN_y,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK_y,W_RANK_y,L_RANK_y,W_PCT_RANK_y,MIN_RANK_y,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID_y,CFPARAMS_y
1610612737,Atlanta Hawks,21,11,10,0.524,1018.0,897,1943,0.462,204,620,0.329,383,462,0.829,229,704,933,499,279.0,154,104,114,427,453,2381,-8.0,4,12,14,14,7,6,4,21,29,26,26,13,21,4,12,8,5,16,5,13,14,23,18,5,8,17,10,Atlanta Hawks,Atlanta Hawks,21,11,10,0.524,1018.0,108.4,110.1,109.1,111.0,-0.7,-0.9,0.556,1.79,16.8,0.284,0.711,0.493,0.129,0.514,0.555,103.4,101.71,84.75,2162,0.501,4,12,14,14,7,22,12,21,27,9,25,17,19,19,1,26,26,8,15,10,Atlanta Hawks
1610612738,Boston Celtics,21,17,4,0.81,1018.0,902,1820,0.496,351,870,0.403,392,460,0.852,166,709,875,573,279.0,122,113,76,436,428,2547,176.0,4,1,1,1,7,5,13,3,1,3,1,11,22,1,26,6,20,5,5,30,10,2,21,14,2,1,10,Boston Celtics,Boston Celtics,21,17,4,0.81,1018.0,119.3,120.9,110.3,111.9,9.0,9.0,0.635,2.05,19.8,0.23,0.732,0.493,0.132,0.592,0.63,101.0,99.63,83.03,2107,0.542,4,1,1,1,7,1,14,1,8,1,2,29,6,20,4,1,1,18,1,10,Boston Celtics
1610612751,Brooklyn Nets,22,11,11,0.5,1061.0,909,1827,0.498,264,710,0.372,371,464,0.8,163,721,884,583,325.0,153,160,87,484,412,2453,16.0,2,12,18,18,2,3,12,1,5,12,8,18,20,11,28,4,19,4,23,15,1,5,27,17,4,14,10,Brooklyn Nets,Brooklyn Nets,22,11,11,0.5,1061.0,111.8,113.0,108.5,112.2,3.4,0.8,0.641,1.79,19.7,0.223,0.677,0.471,0.15,0.57,0.604,100.4,98.24,81.87,2171,0.521,2,12,18,18,2,11,17,14,7,8,4,30,30,30,19,4,3,24,6,10,Brooklyn Nets
1610612766,Charlotte Hornets,21,6,15,0.286,1033.0,867,1945,0.446,218,682,0.32,341,469,0.727,265,690,955,532,323.0,160,106,149,442,438,2293,-130.0,4,26,26,26,4,11,3,27,26,17,29,25,17,27,5,12,3,11,22,7,13,30,22,12,18,28,10,Charlotte Hornets,Charlotte Hornets,21,6,15,0.286,1033.0,103.8,105.9,110.0,112.4,-6.2,-6.5,0.614,1.65,17.5,0.309,0.709,0.5,0.149,0.502,0.533,102.5,100.39,83.66,2165,0.465,4,26,26,26,4,30,20,28,13,21,17,6,22,15,17,29,30,14,27,10,Charlotte Hornets
1610612741,Chicago Bulls,20,9,11,0.45,965.0,823,1753,0.469,211,582,0.363,383,460,0.833,203,666,869,493,295.0,152,107,123,401,388,2240,5.0,17,21,18,22,21,21,22,14,28,29,13,13,22,3,20,20,23,19,13,16,12,27,9,28,23,16,10,Chicago Bulls,Chicago Bulls,20,9,11,0.45,965.0,109.4,110.5,108.6,110.5,0.8,-0.1,0.599,1.67,17.8,0.266,0.742,0.502,0.145,0.53,0.573,102.1,100.73,83.94,2028,0.497,17,21,18,22,21,20,10,16,16,18,14,19,5,14,13,19,16,11,21,10,Chicago Bulls
1610612739,Cleveland Cavaliers,21,13,8,0.619,1033.0,851,1793,0.475,252,664,0.38,417,517,0.807,214,708,922,496,311.0,126,87,99,423,490,2371,124.0,4,4,5,5,4,15,19,11,10,21,4,3,3,9,15,7,9,17,18,29,24,15,16,1,9,3,10,Cleveland Cavaliers,Cleveland Cavaliers,21,13,8,0.619,1033.0,112.0,113.9,106.2,108.2,5.8,5.8,0.583,1.59,17.4,0.286,0.743,0.518,0.149,0.545,0.587,98.4,96.6,80.5,2081,0.534,4,4,5,5,4,7,4,3,20,24,18,14,3,4,18,12,7,29,3,10,Cleveland Cavaliers
1610612742,Dallas Mavericks,19,9,10,0.474,922.0,731,1563,0.468,256,743,0.345,354,483,0.733,146,578,724,403,244.0,154,62,94,393,439,2072,33.0,27,21,14,21,27,30,30,16,7,5,20,21,14,26,30,30,30,30,1,13,29,11,5,11,30,8,10,Dallas Mavericks,Dallas Mavericks,19,9,10,0.474,922.0,110.6,112.8,109.3,110.9,1.3,1.9,0.551,1.65,16.4,0.241,0.72,0.476,0.133,0.55,0.583,97.3,95.66,79.72,1837,0.499,27,21,14,21,27,12,11,8,28,20,27,27,17,29,5,7,10,30,20,10,Dallas Mavericks
1610612743,Denver Nuggets,20,13,7,0.65,965.0,863,1738,0.497,245,616,0.398,333,441,0.755,213,661,874,557,304.0,144,85,89,392,405,2304,29.0,17,4,4,4,21,12,23,2,14,27,2,26,27,24,16,22,21,8,17,19,26,8,4,24,15,10,10,Denver Nuggets,Denver Nuggets,20,13,7,0.65,965.0,113.9,115.8,112.3,114.1,1.6,1.7,0.645,1.83,19.8,0.286,0.743,0.514,0.153,0.567,0.596,100.7,99.08,82.57,1990,0.514,17,4,4,4,21,3,24,9,5,5,3,15,4,7,22,5,5,20,8,10,Denver Nuggets
1610612765,Detroit Pistons,22,5,17,0.227,1056.0,848,1926,0.44,234,704,0.332,470,600,0.783,254,687,941,464,316.0,148,88,144,507,483,2400,-168.0,2,28,30,30,3,16,5,30,20,14,24,1,1,17,6,15,4,25,21,18,23,29,30,2,7,29,10,Detroit Pistons,Detroit Pistons,22,5,17,0.227,1056.0,106.6,109.3,114.8,116.9,-8.3,-7.6,0.547,1.47,15.4,0.305,0.694,0.493,0.144,0.501,0.548,102.0,99.84,83.2,2196,0.443,2,28,30,30,3,25,29,29,29,27,30,9,26,23,11,30,28,17,30,10,Detroit Pistons
1610612744,Golden State Warriors,21,11,10,0.524,1013.0,906,1877,0.483,344,901,0.382,317,393,0.807,190,697,887,627,359.0,155,86,75,484,385,2473,10.0,4,12,14,14,11,4,7,6,2,2,3,29,30,8,23,10,18,2,28,12,25,1,27,30,3,15,10,Golden State Warriors,Golden State Warriors,21,11,10,0.524,1013.0,111.5,113.6,110.8,113.4,0.7,0.2,0.692,1.75,20.5,0.26,0.701,0.488,0.165,0.574,0.603,105.3,103.04,85.86,2177,0.501,4,12,14,14,11,9,22,15,1,14,1,22,25,25,28,2,4,2,16,10,Golden State Warriors
1610612745,Houston Rockets,20,5,15,0.25,960.0,777,1754,0.443,254,717,0.354,398,513,0.776,269,659,928,440,364.0,156,97,123,422,449,2206,-122.0,17,28,26,28,25,28,21,29,8,9,16,8,4,21,4,23,7,28,30,11,20,27,15,6,26,27,10,Houston Rockets,Houston Rockets,20,5,15,0.25,960.0,106.3,109.1,113.5,115.1,-7.2,-6.0,0.566,1.21,15.7,0.343,0.711,0.523,0.18,0.515,0.557,103.1,101.1,84.25,2022,0.463,17,28,26,28,25,26,28,27,25,30,29,1,20,3,30,25,23,9,28,10,Houston Rockets
